Area Type ,Area Name ,Date,Year ,Month,Seasonally Adjusted (Y/N) ,Status (Preliminary / Final) ,LaborForce,Employment ,Unemployment ,UnemploymentRate 
Sub-County Place,La Habra Heights city,01-01-2012,2012,January,N,Final,2300,2200,100,0.039
Sub-County Place,Lake Almanor Country Club CDP,01-01-2012,2012,January,N,Final,140,140,0,0
Sub-County Place,Lake Almanor Peninsula CDP,01-01-2012,2012,January,N,Final,40,40,0,0
Sub-County Place,Lake Almanor West CDP,01-01-2012,2012,January,N,Final,140,120,30,0.189
Sub-County Place,Lake Arrowhead CDP,01-01-2012,2012,January,N,Final,4000,3700,400,0.088
Sub-County Place,Lake Elsinore city,01-01-2012,2012,January,N,Final,24600,21300,3300,0.133
Sub-County Place,Lake Forest city,01-01-2012,2012,January,N,Final,43600,40900,2700,0.062
Sub-County Place,Lake Isabella CDP,01-01-2012,2012,January,N,Final,1100,900,200,0.155
Sub-County Place,Lakeland Village CDP,01-01-2012,2012,January,N,Final,5400,4300,1100,0.195
Sub-County Place,Lake Los Angeles CDP,01-01-2012,2012,January,N,Final,4700,4000,700,0.154
Sub-County Place,Lake Nacimiento CDP,01-01-2012,2012,January,N,Final,1400,1200,200,0.143
Sub-County Place,Lake of the Pines CDP,01-01-2012,2012,January,N,Final,1560,1430,140,0.088
Sub-County Place,Lake of the Woods CDP,01-01-2012,2012,January,N,Final,400,300,0,0.131
Sub-County Place,Lakeport city,01-01-2012,2012,January,N,Final,2340,2100,240,0.103
Sub-County Place,Lakeside CDP,01-01-2012,2012,January,N,Final,10200,9100,1200,0.113
Sub-County Place,Lakeview CDP,01-01-2012,2012,January,N,Final,700,600,100,0.165
Sub-County Place,Lake Wildwood CDP,01-01-2012,2012,January,N,Final,2030,1890,140,0.069
Sub-County Place,Lakewood city,01-01-2012,2012,January,N,Final,41100,37300,3800,0.092
Sub-County Place,La Mesa city,01-01-2012,2012,January,N,Final,30100,27000,3000,0.101
Sub-County Place,La Mirada city,01-01-2012,2012,January,N,Final,22900,21000,1900,0.085
Sub-County Place,Lamont CDP,01-01-2012,2012,January,N,Final,7400,6600,900,0.116
Sub-County Place,Lanare CDP,01-01-2012,2012,January,N,Final,200,100,0,0.253
Sub-County Place,Lancaster city,01-01-2012,2012,January,N,Final,62700,54400,8200,0.132
Sub-County Place,La Palma city,01-01-2012,2012,January,N,Final,7300,6800,500,0.065
Sub-County Place,La Porte CDP,01-01-2012,2012,January,N,Final,0,0,0,0
Sub-County Place,La Puente city,01-01-2012,2012,January,N,Final,18400,16500,1900,0.105
Sub-County Place,La Quinta city,01-01-2012,2012,January,N,Final,16400,15000,1300,0.081
Sub-County Place,La Riviera CDP,01-01-2012,2012,January,N,Final,5900,5100,800,0.137
Sub-County Place,Larkspur city,01-01-2012,2012,January,N,Final,6500,5900,500,0.084
Sub-County Place,Las Flores CDP,01-01-2012,2012,January,N,Final,3200,3100,100,0.037
Sub-County Place,Las Lomas CDP,01-01-2012,2012,January,N,Final,1600,1100,500,0.295
Sub-County Place,Lathrop city,01-01-2012,2012,January,N,Final,7400,6200,1200,0.159
Sub-County Place,Laton CDP,01-01-2012,2012,January,N,Final,500,400,100,0.205
Sub-County Place,La Verne city,01-01-2012,2012,January,N,Final,14800,13500,1400,0.092
Sub-County Place,Lawndale city,01-01-2012,2012,January,N,Final,16300,14400,1800,0.113
Sub-County Place,Laytonville CDP,01-01-2012,2012,January,N,Final,550,400,150,0.273
Sub-County Place,Lebec CDP,01-01-2012,2012,January,N,Final,700,600,100,0.185
Sub-County Place,Le Grand CDP,01-01-2012,2012,January,N,Final,800,600,300,0.309
Sub-County Place,Lemon Cove CDP,01-01-2012,2012,January,N,Final,100,0,0,0.415
Sub-County Place,Lemon Grove city,01-01-2012,2012,January,N,Final,12400,10800,1600,0.129
Sub-County Place,Lemoore city,01-01-2012,2012,January,N,Final,11500,9700,1800,0.157
Sub-County Place,Lemoore Station CDP,01-01-2012,2012,January,N,Final,1300,1000,300,0.209
Sub-County Place,Lennox CDP,01-01-2012,2012,January,N,Final,10100,9000,1100,0.105
Sub-County Place,Lenwood CDP,01-01-2012,2012,January,N,Final,1400,1200,200,0.174
Sub-County Place,Lewiston CDP,01-01-2012,2012,January,N,Final,560,470,90,0.164
Sub-County Place,Lincoln city,01-01-2012,2012,January,N,Final,18000,16000,2000,0.113
Sub-County Place,Lincoln Village CDP,01-01-2012,2012,January,N,Final,2200,1800,400,0.192
Sub-County Place,Linda CDP,01-01-2012,2012,January,N,Final,6700,5200,1400,0.216
Sub-County Place,Linden CDP,01-01-2012,2012,January,N,Final,900,800,100,0.07
Sub-County Place,Lindsay city,01-01-2012,2012,January,N,Final,5700,4300,1400,0.247
Sub-County Place,Little Grass Valley CDP,01-01-2012,2012,January,N,Final,10,10,0,0
Sub-County Place,Littlerock CDP,01-01-2012,2012,January,N,Final,700,600,0,0.065
Sub-County Place,Live Oak CDP,01-01-2012,2012,January,N,Final,8900,7500,1400,0.154
Sub-County Place,Live Oak city,01-01-2012,2012,January,N,Final,3500,2900,600,0.172
Sub-County Place,Livermore city,01-01-2012,2012,January,N,Final,43700,40800,2900,0.066
Sub-County Place,Livingston city,01-01-2012,2012,January,N,Final,6500,5000,1500,0.231
Sub-County Place,Lockeford CDP,01-01-2012,2012,January,N,Final,1500,1200,300,0.174
Sub-County Place,Lodi city,01-01-2012,2012,January,N,Final,28400,24000,4400,0.156
Sub-County Place,Loma Linda city,01-01-2012,2012,January,N,Final,11000,10200,800,0.072
Sub-County Place,Loma Rica CDP,01-01-2012,2012,January,N,Final,1000,900,100,0.104
Sub-County Place,Lomita city,01-01-2012,2012,January,N,Final,11000,10100,900,0.085
Sub-County Place,Lompoc city,01-01-2012,2012,January,N,Final,17700,15400,2300,0.128
Sub-County Place,London CDP,01-01-2012,2012,January,N,Final,800,600,200,0.233
Sub-County Place,Lone Pine CDP,01-01-2012,2012,January,N,Final,900,760,150,0.162
Sub-County Place,Long Beach city,01-01-2012,2012,January,N,Final,235200,204900,30300,0.129
Sub-County Place,Loomis town,01-01-2012,2012,January,N,Final,3000,2800,200,0.072
Sub-County Place,Los Alamitos city,01-01-2012,2012,January,N,Final,5700,5200,500,0.086
Sub-County Place,Los Alamos CDP,01-01-2012,2012,January,N,Final,800,700,100,0.115
Sub-County Place,Los Altos city,01-01-2012,2012,January,N,Final,13200,12500,800,0.058
Sub-County Place,Los Angeles city,01-01-2012,2012,January,N,Final,1961400,1716300,245100,0.125
Sub-County Place,Los Banos city,01-01-2012,2012,January,N,Final,15900,12800,3100,0.196
Sub-County Place,Los Gatos town,01-01-2012,2012,January,N,Final,14600,13700,900,0.06
Sub-County Place,Los Molinos CDP,01-01-2012,2012,January,N,Final,870,720,150,0.171
Sub-County Place,Lost Hills CDP,01-01-2012,2012,January,N,Final,1000,900,100,0.122
Sub-County Place,Lower Lake CDP,01-01-2012,2012,January,N,Final,660,450,220,0.328
Sub-County Place,Loyalton city,01-01-2012,2012,January,N,Final,340,310,40,0.106
Sub-County Place,Lucerne CDP,01-01-2012,2012,January,N,Final,1010,750,260,0.259
Sub-County Place,Lynwood city,01-01-2012,2012,January,N,Final,28400,24300,4100,0.144
Sub-County Place,McCloud CDP,01-01-2012,2012,January,N,Final,480,390,90,0.185
Sub-County Place,McFarland city,01-01-2012,2012,January,N,Final,5100,3900,1200,0.229
Sub-County Place,McKinleyville CDP,01-01-2012,2012,January,N,Final,8600,7900,700,0.087
Sub-County Place,McKittrick CDP,01-01-2012,2012,January,N,Final,100,0,0,0.41
Sub-County Place,Madera city,01-01-2012,2012,January,N,Final,27400,23500,3800,0.14
Sub-County Place,Madera Acres CDP,01-01-2012,2012,January,N,Final,4900,4000,900,0.191
Sub-County Place,Magalia CDP,01-01-2012,2012,January,N,Final,4400,3600,800,0.185
Sub-County Place,Malibu city,01-01-2012,2012,January,N,Final,5900,5500,400,0.07
Sub-County Place,Mammoth Lakes town,01-01-2012,2012,January,N,Final,5280,4810,470,0.089
Sub-County Place,Manhattan Beach city,01-01-2012,2012,January,N,Final,18000,17100,900,0.05
Sub-County Place,Manteca city,01-01-2012,2012,January,N,Final,33800,28200,5600,0.166
Sub-County Place,Manton CDP,01-01-2012,2012,January,N,Final,110,100,20,0.14
Sub-County Place,March AFB CDP,01-01-2012,2012,January,N,Final,200,100,100,0.278
Sub-County Place,Maricopa city,01-01-2012,2012,January,N,Final,500,400,100,0.263
Sub-County Place,Marina city,01-01-2012,2012,January,N,Final,10800,9400,1400,0.127
Sub-County Place,Marina del Rey CDP,01-01-2012,2012,January,N,Final,6000,5500,600,0.092
Sub-County Place,Mariposa CDP,01-01-2012,2012,January,N,Final,680,460,220,0.323
Sub-County Place,Markleeville CDP,01-01-2012,2012,January,N,Final,150,150,0,0
Sub-County Place,Martinez city,01-01-2012,2012,January,N,Final,19800,18000,1800,0.089
Sub-County Place,Marysville city,01-01-2012,2012,January,N,Final,4700,3900,800,0.173
Sub-County Place,Mayflower Village CDP,01-01-2012,2012,January,N,Final,2900,2700,200,0.084
Sub-County Place,Maywood city,01-01-2012,2012,January,N,Final,12300,10800,1500,0.123
Sub-County Place,Meadow Valley CDP,01-01-2012,2012,January,N,Final,280,190,90,0.327
Sub-County Place,Meadow Vista CDP,01-01-2012,2012,January,N,Final,1500,1300,100,0.084
Sub-County Place,Mecca CDP,01-01-2012,2012,January,N,Final,3800,2500,1300,0.332
Sub-County Place,Meiners Oaks CDP,01-01-2012,2012,January,N,Final,2200,2000,100,0.062
Sub-County Place,Mendocino CDP,01-01-2012,2012,January,N,Final,440,420,10,0.03
Sub-County Place,Mendota city,01-01-2012,2012,January,N,Final,5900,4000,1900,0.317
Sub-County Place,Menifee City,01-01-2012,2012,January,N,Final,34400,29400,5000,0.145
Sub-County Place,Menlo Park city,01-01-2012,2012,January,N,Final,17100,16200,1000,0.057
Sub-County Place,Mentone CDP,01-01-2012,2012,January,N,Final,4500,4200,300,0.071
Sub-County Place,Merced city,01-01-2012,2012,January,N,Final,34500,28200,6300,0.183
Sub-County Place,Mesa CDP,01-01-2012,2012,January,N,Final,290,230,60,0.194
Sub-County Place,Mesa Vista CDP,01-01-2012,2012,January,N,Final,130,120,20,0.129
Sub-County Place,Mettler CDP,01-01-2012,2012,January,N,Final,100,100,0,0.359
Sub-County Place,Middletown CDP,01-01-2012,2012,January,N,Final,670,600,60,0.096
Sub-County Place,Millbrae city,01-01-2012,2012,January,N,Final,11000,10300,700,0.062
Sub-County Place,Mill Valley city,01-01-2012,2012,January,N,Final,7100,6800,400,0.05
Sub-County Place,Milpitas city,01-01-2012,2012,January,N,Final,34700,31800,2900,0.083
Sub-County Place,Mineral CDP,01-01-2012,2012,January,N,Final,100,100,0,0
Sub-County Place,Mira Monte CDP,01-01-2012,2012,January,N,Final,3800,3500,300,0.077
Sub-County Place,Mission Canyon CDP,01-01-2012,2012,January,N,Final,1200,1100,100,0.075
Sub-County Place,Mission Hills CDP,01-01-2012,2012,January,N,Final,1800,1600,200,0.088
Sub-County Place,Mission Viejo city,01-01-2012,2012,January,N,Final,48500,44600,3900,0.081
Sub-County Place,Mi Wuk Village CDP,01-01-2012,2012,January,N,Final,340,330,10,0.038
Sub-County Place,Modesto city,01-01-2012,2012,January,N,Final,94400,78900,15500,0.164
Sub-County Place,Mohawk Vista CDP,01-01-2012,2012,January,N,Final,20,20,0,0
Sub-County Place,Mojave CDP,01-01-2012,2012,January,N,Final,1700,1200,500,0.27
Sub-County Place,Mokelumne Hill CDP,01-01-2012,2012,January,N,Final,370,290,80,0.214
Sub-County Place,Mono Vista CDP,01-01-2012,2012,January,N,Final,1000,740,250,0.254
Sub-County Place,Monrovia city,01-01-2012,2012,January,N,Final,20000,18200,1800,0.092
Sub-County Place,Montclair city,01-01-2012,2012,January,N,Final,17400,15600,1800,0.105
Sub-County Place,Montebello city,01-01-2012,2012,January,N,Final,27800,25000,2800,0.102
Sub-County Place,Montecito CDP,01-01-2012,2012,January,N,Final,3200,2900,300,0.085
Sub-County Place,Monterey city,01-01-2012,2012,January,N,Final,14500,12800,1800,0.122
Sub-County Place,Monterey Park city,01-01-2012,2012,January,N,Final,28500,25500,3000,0.106
Sub-County Place,Monte Rio CDP,01-01-2012,2012,January,N,Final,500,500,100,0.119
Sub-County Place,Moorpark city,01-01-2012,2012,January,N,Final,19100,17600,1500,0.08
Sub-County Place,Morada CDP,01-01-2012,2012,January,N,Final,1600,1400,200,0.131
Sub-County Place,Moraga town,01-01-2012,2012,January,N,Final,7100,6600,500,0.069
Sub-County Place,Moreno Valley city,01-01-2012,2012,January,N,Final,88100,76400,11700,0.133
Sub-County Place,Morgan Hill city,01-01-2012,2012,January,N,Final,20300,18300,2000,0.097
Sub-County Place,Morongo Valley CDP,01-01-2012,2012,January,N,Final,1700,1300,400,0.217
Sub-County Place,Morro Bay city,01-01-2012,2012,January,N,Final,5200,4800,400,0.08
Sub-County Place,Moss Landing CDP,01-01-2012,2012,January,N,Final,300,100,100,0.491
Sub-County Place,Mountain Mesa CDP,01-01-2012,2012,January,N,Final,200,100,100,0.36
Sub-County Place,Mountain Ranch CDP,01-01-2012,2012,January,N,Final,770,630,140,0.187
Sub-County Place,Mountain View CDP,01-01-2012,2012,January,N,Final,1100,900,200,0.18
Sub-County Place,Mountain View city,01-01-2012,2012,January,N,Final,45200,42200,3100,0.068
Sub-County Place,Mountain View Acres CDP,01-01-2012,2012,January,N,Final,1600,1200,400,0.237
Sub-County Place,Mount Shasta city,01-01-2012,2012,January,N,Final,1820,1480,350,0.189
Sub-County Place,Murphys CDP,01-01-2012,2012,January,N,Final,730,650,80,0.105
Sub-County Place,Murrieta city,01-01-2012,2012,January,N,Final,49200,44200,5000,0.102
Sub-County Place,Muscoy CDP,01-01-2012,2012,January,N,Final,4000,3300,800,0.187
Sub-County Place,Napa city,01-01-2012,2012,January,N,Final,39600,35400,4300,0.108
Sub-County Place,National City city,01-01-2012,2012,January,N,Final,24600,21500,3100,0.125
Sub-County Place,Needles city,01-01-2012,2012,January,N,Final,1900,1700,200,0.091
Sub-County Place,Nevada City city,01-01-2012,2012,January,N,Final,1570,1430,140,0.087
Sub-County Place,Newark city,01-01-2012,2012,January,N,Final,22500,20700,1800,0.082
Sub-County Place,Newman city,01-01-2012,2012,January,N,Final,4800,4000,800,0.161
Sub-County Place,Newport Beach city,01-01-2012,2012,January,N,Final,44500,41300,3200,0.071
Sub-County Place,Nice CDP,01-01-2012,2012,January,N,Final,900,870,30,0.036
Sub-County Place,Nipomo CDP,01-01-2012,2012,January,N,Final,8300,7600,700,0.089
Sub-County Place,Norco city,01-01-2012,2012,January,N,Final,11400,10200,1200,0.102
Sub-County Place,North Auburn CDP,01-01-2012,2012,January,N,Final,5900,5400,600,0.095
Sub-County Place,North Edwards CDP,01-01-2012,2012,January,N,Final,400,400,0,0.08
Sub-County Place,North El Monte CDP,01-01-2012,2012,January,N,Final,2100,1900,100,0.072
Sub-County Place,North Fair Oaks CDP,01-01-2012,2012,January,N,Final,8500,7600,900,0.107
Sub-County Place,North Highlands CDP,01-01-2012,2012,January,N,Final,17000,15000,2100,0.121
Sub-County Place,North Lakeport CDP,01-01-2012,2012,January,N,Final,1470,1330,140,0.094
Sub-County Place,Norwalk city,01-01-2012,2012,January,N,Final,49700,43700,6000,0.121
Sub-County Place,Novato city,01-01-2012,2012,January,N,Final,27500,25700,1900,0.068
Sub-County Place,Nuevo CDP,01-01-2012,2012,January,N,Final,2900,2500,300,0.107
Sub-County Place,Oakdale city,01-01-2012,2012,January,N,Final,9700,8400,1300,0.137
Sub-County Place,Oakhurst CDP,01-01-2012,2012,January,N,Final,1000,900,200,0.166
Sub-County Place,Oakland city,01-01-2012,2012,January,N,Final,205100,181200,23900,0.117
Sub-County Place,Oakley city,01-01-2012,2012,January,N,Final,18000,15900,2200,0.121
Sub-County Place,Oak Park CDP,01-01-2012,2012,January,N,Final,7800,7100,700,0.09
Sub-County Place,Oak View CDP,01-01-2012,2012,January,N,Final,2600,2200,400,0.157
Sub-County Place,Occidental CDP,01-01-2012,2012,January,N,Final,700,700,0,0.014
Sub-County Place,Oceano CDP,01-01-2012,2012,January,N,Final,3600,3400,200,0.062
Sub-County Place,Oceanside city,01-01-2012,2012,January,N,Final,80700,72400,8300,0.103
Sub-County Place,Oildale CDP,01-01-2012,2012,January,N,Final,14600,12000,2600,0.175
Sub-County Place,Ojai city,01-01-2012,2012,January,N,Final,3700,3200,500,0.134
Sub-County Place,Olancha CDP,01-01-2012,2012,January,N,Final,110,110,0,0
Sub-County Place,Olivehurst CDP,01-01-2012,2012,January,N,Final,5800,4500,1300,0.218
Sub-County Place,Ontario city,01-01-2012,2012,January,N,Final,79100,69300,9800,0.124
Sub-County Place,Onyx CDP,01-01-2012,2012,January,N,Final,200,200,100,0.294
Sub-County Place,Orange city,01-01-2012,2012,January,N,Final,70700,65000,5700,0.081
Sub-County Place,Orange Cove city,01-01-2012,2012,January,N,Final,3800,2900,900,0.236
Sub-County Place,Orangevale CDP,01-01-2012,2012,January,N,Final,16800,14700,2200,0.128
Sub-County Place,Orcutt CDP,01-01-2012,2012,January,N,Final,13300,12100,1300,0.094
Sub-County Place,Orinda city,01-01-2012,2012,January,N,Final,8200,7800,400,0.048
Sub-County Place,Orland city,01-01-2012,2012,January,N,Final,3230,2570,660,0.205
Sub-County Place,Oroville city,01-01-2012,2012,January,N,Final,6400,5400,1000,0.159
Sub-County Place,Oroville East CDP,01-01-2012,2012,January,N,Final,3800,3100,700,0.176
Sub-County Place,Oxnard city,01-01-2012,2012,January,N,Final,100400,89300,11000,0.11
Sub-County Place,Pacheco CDP,01-01-2012,2012,January,N,Final,2400,2000,300,0.146
Sub-County Place,Pacifica city,01-01-2012,2012,January,N,Final,21800,20400,1400,0.066
Sub-County Place,Pacific Grove city,01-01-2012,2012,January,N,Final,8200,7300,900,0.107
Sub-County Place,Pajaro CDP,01-01-2012,2012,January,N,Final,1900,1100,700,0.393
Sub-County Place,Palermo CDP,01-01-2012,2012,January,N,Final,1900,1500,400,0.211
Sub-County Place,Palmdale city,01-01-2012,2012,January,N,Final,63700,53800,9900,0.156
Sub-County Place,Palm Desert city,01-01-2012,2012,January,N,Final,21700,19700,2000,0.091
Sub-County Place,Palm Springs city,01-01-2012,2012,January,N,Final,20600,18500,2100,0.104
Sub-County Place,Palo Alto city,01-01-2012,2012,January,N,Final,32800,30800,2000,0.061
Sub-County Place,Palos Verdes Estates city,01-01-2012,2012,January,N,Final,5400,5300,100,0.02
Sub-County Place,Paradise town,01-01-2012,2012,January,N,Final,11100,9700,1400,0.122
Sub-County Place,Paramount city,01-01-2012,2012,January,N,Final,24500,21200,3400,0.137
Sub-County Place,Parksdale CDP,01-01-2012,2012,January,N,Final,900,800,200,0.203
Sub-County Place,Parkwood CDP,01-01-2012,2012,January,N,Final,1000,1000,100,0.086
Sub-County Place,Parlier city,01-01-2012,2012,January,N,Final,6700,5300,1300,0.201
Sub-County Place,Pasadena city,01-01-2012,2012,January,N,Final,74700,66800,7900,0.106
Sub-County Place,Patterson city,01-01-2012,2012,January,N,Final,9000,7500,1400,0.16
Sub-County Place,Paxton CDP,01-01-2012,2012,January,N,Final,0,0,0,0
Sub-County Place,Penn Valley CDP,01-01-2012,2012,January,N,Final,650,450,210,0.319
Sub-County Place,Perris city,01-01-2012,2012,January,N,Final,28500,23500,5000,0.177
Sub-County Place,Petaluma city,01-01-2012,2012,January,N,Final,30100,27700,2400,0.079
Sub-County Place,Pico Rivera city,01-01-2012,2012,January,N,Final,29400,26200,3200,0.109
Sub-County Place,Piedmont city,01-01-2012,2012,January,N,Final,5200,4900,300,0.054
Sub-County Place,Pine Mountain Club CDP,01-01-2012,2012,January,N,Final,900,700,200,0.235
Sub-County Place,Pinole city,01-01-2012,2012,January,N,Final,9400,8600,800,0.083
Sub-County Place,Piru CDP,01-01-2012,2012,January,N,Final,800,700,100,0.15
Sub-County Place,Pismo Beach city,01-01-2012,2012,January,N,Final,3800,3500,300,0.075
Sub-County Place,Pittsburg city,01-01-2012,2012,January,N,Final,31700,28000,3700,0.117
Sub-County Place,Pixley CDP,01-01-2012,2012,January,N,Final,1200,900,300,0.249
Sub-County Place,Placentia city,01-01-2012,2012,January,N,Final,25900,23400,2500,0.096
Sub-County Place,Placerville city,01-01-2012,2012,January,N,Final,4700,4000,700,0.154
Sub-County Place,Planada CDP,01-01-2012,2012,January,N,Final,2400,1800,600,0.245
Sub-County Place,Pleasant Hill city,01-01-2012,2012,January,N,Final,17400,15900,1400,0.083
Sub-County Place,Pleasanton city,01-01-2012,2012,January,N,Final,35400,32800,2600,0.075
Sub-County Place,Plumas Eureka CDP,01-01-2012,2012,January,N,Final,130,90,40,0.305
Sub-County Place,Plymouth city,01-01-2012,2012,January,N,Final,490,410,80,0.16
Sub-County Place,Point Arena city,01-01-2012,2012,January,N,Final,240,220,20,0.097
Sub-County Place,Point Reyes Station CDP,01-01-2012,2012,January,N,Final,500,500,0,0.047
Sub-County Place,Pollock Pines CDP,01-01-2012,2012,January,N,Final,2900,2600,300,0.111
Sub-County Place,Pomona city,01-01-2012,2012,January,N,Final,66200,57500,8700,0.131
Sub-County Place,Poplar Cotton Center CDP,01-01-2012,2012,January,N,Final,1000,800,200,0.227
Sub-County Place,Port Costa CDP,01-01-2012,2012,January,N,Final,100,100,0,0
Sub-County Place,Porterville city,01-01-2012,2012,January,N,Final,23800,19300,4500,0.19
Sub-County Place,Port Hueneme city,01-01-2012,2012,January,N,Final,10200,8700,1500,0.148
Sub-County Place,Portola city,01-01-2012,2012,January,N,Final,890,570,320,0.359
Sub-County Place,Poway city,01-01-2012,2012,January,N,Final,24700,23100,1600,0.065
Sub-County Place,Prattville CDP,01-01-2012,2012,January,N,Final,10,0,10,1
Sub-County Place,Prunedale CDP,01-01-2012,2012,January,N,Final,10400,8700,1700,0.166
Sub-County Place,Quartz Hill CDP,01-01-2012,2012,January,N,Final,4800,4100,800,0.157
Sub-County Place,Quincy CDP,01-01-2012,2012,January,N,Final,610,560,50,0.08
Sub-County Place,Raisin City CDP,01-01-2012,2012,January,N,Final,100,100,0,0.077
Sub-County Place,Ramona CDP,01-01-2012,2012,January,N,Final,10300,9100,1200,0.118
Sub-County Place,Rancho Calaveras CDP,01-01-2012,2012,January,N,Final,3230,2620,620,0.191
Sub-County Place,Rancho Cordova City,01-01-2012,2012,January,N,Final,32500,28300,4200,0.128
Sub-County Place,Rancho Cucamonga city,01-01-2012,2012,January,N,Final,87000,78900,8100,0.093
Sub-County Place,Rancho Mirage city,01-01-2012,2012,January,N,Final,6500,5800,700,0.107
Sub-County Place,Rancho Murieta CDP,01-01-2012,2012,January,N,Final,2900,2700,200,0.07
Sub-County Place,Rancho Palos Verdes city,01-01-2012,2012,January,N,Final,18200,17100,1100,0.059
Sub-County Place,Rancho Santa Margarita city,01-01-2012,2012,January,N,Final,26600,25200,1300,0.051
Sub-County Place,Rancho Tehama Reserve CDP,01-01-2012,2012,January,N,Final,450,410,40,0.092
Sub-County Place,Randsburg CDP,01-01-2012,2012,January,N,Final,0,0,0,0
Sub-County Place,Red Bluff city,01-01-2012,2012,January,N,Final,5410,4540,870,0.16
Sub-County Place,Redding city,01-01-2012,2012,January,N,Final,40500,34500,6000,0.148
Sub-County Place,Redlands city,01-01-2012,2012,January,N,Final,32000,29700,2300,0.073
Sub-County Place,Redondo Beach city,01-01-2012,2012,January,N,Final,38700,35800,2900,0.074
Sub-County Place,Redway CDP,01-01-2012,2012,January,N,Final,300,300,0,0.098
Sub-County Place,Redwood City city,01-01-2012,2012,January,N,Final,42900,40100,2800,0.065
Sub-County Place,Reedley city,01-01-2012,2012,January,N,Final,11400,9500,1900,0.169
Sub-County Place,Rialto city,01-01-2012,2012,January,N,Final,43200,36900,6300,0.145
Sub-County Place,Richgrove CDP,01-01-2012,2012,January,N,Final,1400,1000,400,0.288
Sub-County Place,Richmond city,01-01-2012,2012,January,N,Final,52000,46200,5900,0.113
Sub-County Place,Ridgecrest city,01-01-2012,2012,January,N,Final,14000,12500,1500,0.104
Sub-County Place,Ridgemark CDP,01-01-2012,2012,January,N,Final,1700,1500,200,0.124
Sub-County Place,Rio Dell city,01-01-2012,2012,January,N,Final,1500,1300,200,0.144
Sub-County Place,Rio del Mar CDP,01-01-2012,2012,January,N,Final,4400,4000,500,0.105
Sub-County Place,Rio Linda CDP,01-01-2012,2012,January,N,Final,6300,5600,700,0.115
Sub-County Place,Rio Vista city,01-01-2012,2012,January,N,Final,3100,2400,700,0.224
Sub-County Place,Ripon city,01-01-2012,2012,January,N,Final,6600,6100,500,0.074
Sub-County Place,Riverbank city,01-01-2012,2012,January,N,Final,11500,9600,1900,0.165
Sub-County Place,Riverdale CDP,01-01-2012,2012,January,N,Final,1600,1300,300,0.206
Sub-County Place,Riverside city,01-01-2012,2012,January,N,Final,141800,124800,17000,0.12
Sub-County Place,Rocklin city,01-01-2012,2012,January,N,Final,29600,26500,3100,0.105
Sub-County Place,Rodeo CDP,01-01-2012,2012,January,N,Final,4400,3900,500,0.108
Sub-County Place,Rohnert Park city,01-01-2012,2012,January,N,Final,21400,19200,2200,0.104
Sub-County Place,Rolling Hills city,01-01-2012,2012,January,N,Final,900,800,100,0.068
Sub-County Place,Rolling Hills Estates city,01-01-2012,2012,January,N,Final,3400,3200,200,0.058
Sub-County Place,Rollingwood CDP,01-01-2012,2012,January,N,Final,1100,1000,100,0.101
Sub-County Place,Romoland CDP,01-01-2012,2012,January,N,Final,1000,800,200,0.16
Sub-County Place,Rosamond CDP,01-01-2012,2012,January,N,Final,8600,7300,1300,0.152
Sub-County Place,Rosedale CDP,01-01-2012,2012,January,N,Final,8300,7500,900,0.105
Sub-County Place,Rosemead city,01-01-2012,2012,January,N,Final,25100,21700,3400,0.135
Sub-County Place,Rosemont CDP,01-01-2012,2012,January,N,Final,11600,10200,1500,0.125
Sub-County Place,Roseville city,01-01-2012,2012,January,N,Final,62000,55900,6100,0.099
Sub-County Place,Rossmoor CDP,01-01-2012,2012,January,N,Final,4900,4700,300,0.051
Sub-County Place,Round Valley CDP,01-01-2012,2012,January,N,Final,200,190,10,0.04
Sub-County Place,Rowland Heights CDP,01-01-2012,2012,January,N,Final,23800,22200,1600,0.068
Sub-County Place,Running Springs CDP,01-01-2012,2012,January,N,Final,2500,2300,200,0.093
Sub-County Place,Sacramento city,01-01-2012,2012,January,N,Final,225800,198000,27800,0.123
Sub-County Place,St. Helena city,01-01-2012,2012,January,N,Final,2700,2500,200,0.066
Sub-County Place,Salida CDP,01-01-2012,2012,January,N,Final,7400,6600,800,0.11
Sub-County Place,Salinas city,01-01-2012,2012,January,N,Final,75200,62100,13100,0.174
Sub-County Place,San Andreas CDP,01-01-2012,2012,January,N,Final,1030,830,210,0.199
Sub-County Place,San Anselmo town,01-01-2012,2012,January,N,Final,6700,6300,400,0.065
Sub-County Place,San Antonio Heights CDP,01-01-2012,2012,January,N,Final,1900,1800,200,0.078
Sub-County Place,San Ardo CDP,01-01-2012,2012,January,N,Final,300,200,100,0.322
Sub-County Place,San Bernardino city,01-01-2012,2012,January,N,Final,82400,69700,12700,0.154
Sub-County Place,San Bruno city,01-01-2012,2012,January,N,Final,24100,22400,1700,0.069
Sub-County Place,San Buenaventura (Ventura) city,01-01-2012,2012,January,N,Final,57400,51500,5900,0.103
Sub-County Place,San Carlos city,01-01-2012,2012,January,N,Final,15700,14600,1100,0.071
Sub-County Place,San Clemente city,01-01-2012,2012,January,N,Final,30900,28700,2200,0.072
Sub-County Place,Sand City city,01-01-2012,2012,January,N,Final,200,100,100,0.306
Sub-County Place,San Diego city,01-01-2012,2012,January,N,Final,677100,612600,64600,0.095
